"Gene.stable.ID","GO.description","GO.term.accession","ontology","GO.term"
"AT2G34690","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G34930","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT2G35000","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G35690","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT2G35940","response to symbiotic fungus","GO:0009610","P","response to biotic stimulus"
"AT2G35980","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT2G36400","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G36450","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G36490","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G36910","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G37130","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G37220","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G37630","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G37660","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G37710","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT2G37870","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT2G38120","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G38290","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G38470","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G38870","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G39010","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G39050","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G39210","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT2G39260","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G39350","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G39660","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G39730","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G39770","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G39940","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G40000","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G40030","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G40140","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G40460","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G40690","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT2G40750","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G41160","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G41370","induced systemic resistance, jasmonic acid mediated signaling pathway","GO:0009864","P","response to biotic stimulus"
"AT2G41430","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT2G41560","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G41760","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G42010","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G42260","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT2G42530","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G43120","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G43510","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G43570","response to virus","GO:0009615","P","response to biotic stimulus"
"AT2G43580","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G43690","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT2G43700","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G43710","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT2G43790","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G43850","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G44300","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT2G44440","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G44490","induced systemic resistance","GO:0009682","P","response to biotic stimulus"
"AT2G44950","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT2G45180","innate immune response activating cell surface receptor signaling pathway","GO:0002220","P","response to biotic stimulus"
"AT2G45220","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT2G45820","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT2G46240","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT2G46370","induced systemic resistance, jasmonic acid mediated signaling pathway","GO:0009864","P","response to biotic stimulus"
"AT2G46380","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT2G46400","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G46440","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G46450","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G47130","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G47260","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G47730","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT2G47800","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT2G47900","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT2G48070","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT3G01210","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G01280","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G01290","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT3G01310","positive regulation of defense response to insect","GO:1900367","P","response to biotic stimulus"
"AT3G01420","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G01480","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G01500","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G02260","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G03090","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G03280","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G03300","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT3G03760","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT3G03970","antifungal innate immune response","GO:0061760","P","response to biotic stimulus"
"AT3G04220","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G04570","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT3G04720","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G04740","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G04790","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G05010","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT3G05180","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G05200","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G05360","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT3G05710","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT3G06110","negative regulation of plant-type hypersensitive response","GO:0034051","P","response to biotic stimulus"
"AT3G06380","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G06490","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G06550","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G07040","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT3G07450","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G07525","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G07690","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G08510","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G08870","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G09030","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G09260","response to symbiotic fungus","GO:0009610","P","response to biotic stimulus"
"AT3G09440","response to virus","GO:0009615","P","response to biotic stimulus"
"AT3G09830","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G09940","response to symbiotic fungus","GO:0009610","P","response to biotic stimulus"
"AT3G09980","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT3G10120","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G10190","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G10260","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G10490","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT3G10525","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G10680","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT3G10920","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G10930","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G10985","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G11240","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G11340","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT3G11480","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT3G11630","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G11650","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT3G11660","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT3G11820","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G11900","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G12100","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G12140","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G12250","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G12500","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G12580","response to virus","GO:0009615","P","response to biotic stimulus"
"AT3G12620","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT3G12810","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G13100","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT3G13437","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G13790","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G14130","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G14150","innate immune response-activating signal transduction","GO:0002758","P","response to biotic stimulus"
"AT3G14210","response to insect","GO:0009625","P","response to biotic stimulus"
"AT3G14310","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT3G14395","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT3G14415","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G14420","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G14460","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G14840","regulation of innate immune response","GO:0045088","P","response to biotic stimulus"
"AT3G15020","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G15210","induced systemic resistance, jasmonic acid mediated signaling pathway","GO:0009864","P","response to biotic stimulus"
"AT3G15352","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G16030","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT3G16400","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT3G16530","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT3G16640","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G16770","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT3G17210","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G17690","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT3G17700","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G17980","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT3G18165","innate immune response-activating signal transduction","GO:0002758","P","response to biotic stimulus"
"AT3G18490","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G18690","innate immune response-activating signal transduction","GO:0002758","P","response to biotic stimulus"
"AT3G18740","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G19190","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G19260","response to molecule of fungal origin","GO:0002238","P","response to biotic stimulus"
"AT3G19380","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT3G20250","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT3G20600","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT3G20770","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G21220","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT3G21240","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G21630","detection of molecule of fungal origin","GO:0032491","P","response to biotic stimulus"
"AT3G21650","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT3G22231","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G22400","negative regulation of defense response to insect","GO:1900366","P","response to biotic stimulus"
"AT3G22600","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G22640","response to virus","GO:0009615","P","response to biotic stimulus"
"AT3G23170","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT3G23400","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G23550","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT3G23780","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G23820","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G24550","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G24800","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G25020","regulation of defense response to oomycetes","GO:1902288","P","response to biotic stimulus"
"AT3G25040","innate immune response-activating signal transduction","GO:0002758","P","response to biotic stimulus"
"AT3G25070","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT3G25180","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT3G25780","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G25820","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G25830","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G25882","regulation of systemic acquired resistance","GO:0010112","P","response to biotic stimulus"
"AT3G26520","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G26830","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G27400","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G27850","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G27890","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G28450","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT3G28740","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT3G28910","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G28930","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G29090","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT3G30720","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT3G30775","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G43300","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G43720","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G43790","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G43810","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G43920","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT3G44260","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT3G44300","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G44480","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT3G44670","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G44860","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT3G44880","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G45140","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT3G45240","response to virus","GO:0009615","P","response to biotic stimulus"
"AT3G45330","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G45390","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G45410","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT3G45420","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G45430","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G45440","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G45640","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G45680","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G45860","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G46510","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G46530","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT3G46760","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G48090","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G48520","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT3G48880","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT3G48990","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G49110","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G49120","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G49480","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G49500","RNAi-mediated antiviral immune response","GO:0009616","P","response to biotic stimulus"
"AT3G49530","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT3G49860","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT3G49870","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT3G50260","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G50450","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G50460","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G50470","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G50480","response to external biotic stimulus","GO:0043207","P","response to biotic stimulus"
"AT3G50930","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT3G50950","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT3G50970","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G51430","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G51440","response to virus","GO:0009615","P","response to biotic stimulus"
"AT3G51450","response to virus","GO:0009615","P","response to biotic stimulus"
"AT3G51480","induced systemic resistance, jasmonic acid mediated signaling pathway","GO:0009864","P","response to biotic stimulus"
"AT3G51550","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G51860","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G51870","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G52400","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G52430","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G52960","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G53160","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT3G53180","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G53380","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G53760","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G53810","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G53980","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G54420","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT3G54560","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G54640","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G54920","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT3G54950","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT3G55150","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT3G55450","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT3G55550","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT3G55560","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT3G55800","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G56400","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT3G56410","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT3G56710","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G56740","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G57130","induced systemic resistance, jasmonic acid mediated signaling pathway","GO:0009864","P","response to biotic stimulus"
"AT3G57240","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT3G57260","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT3G57330","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G57710","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT3G57730","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G57750","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT3G57860","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT3G57960","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G57970","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G58350","response to virus","GO:0009615","P","response to biotic stimulus"
"AT3G59280","negative regulation of defense response to oomycetes","GO:1902289","P","response to biotic stimulus"
"AT3G59640","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G59660","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G59700","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT3G59730","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G59740","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT3G59750","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G60160","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G60190","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G60240","response to virus","GO:0009615","P","response to biotic stimulus"
"AT3G61260","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT3G61650","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT3G61670","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT3G61710","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G61890","response to virus","GO:0009615","P","response to biotic stimulus"
"AT3G61980","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G62030","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G62590","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT3G62770","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT3G62800","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT3G63190","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT3G63310","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G00270","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT4G00830","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G00860","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT4G00990","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G01050","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G01090","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT4G01370","jasmonic acid and ethylene-dependent systemic resistance","GO:0009861","P","response to biotic stimulus"
"AT4G01700","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT4G01895","regulation of systemic acquired resistance","GO:0010112","P","response to biotic stimulus"
"AT4G02195","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT4G02300","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT4G02330","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT4G02380","response to insect","GO:0009625","P","response to biotic stimulus"
"AT4G02410","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT4G02420","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT4G02520","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G02640","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT4G03110","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT4G03280","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G03550","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G03960","regulation of defense response to bacterium","GO:1900424","P","response to biotic stimulus"
"AT4G04780","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G04920","positive regulation of systemic acquired resistance","GO:1901672","P","response to biotic stimulus"
"AT4G04960","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G05200","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G06634","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT4G08870","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G08900","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G08920","positive regulation of systemic acquired resistance","GO:1901672","P","response to biotic stimulus"
"AT4G09650","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G10490","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT4G10500","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT4G11130","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G11150","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G11260","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G11460","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G11470","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G11480","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G11490","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G11530","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G11650","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G11850","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT4G11890","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT4G12010","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G12470","induced systemic resistance","GO:0009682","P","response to biotic stimulus"
"AT4G12480","induced systemic resistance","GO:0009682","P","response to biotic stimulus"
"AT4G12490","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G12720","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT4G13040","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT4G13350","response to virus","GO:0009615","P","response to biotic stimulus"
"AT4G13770","response to insect","GO:0009625","P","response to biotic stimulus"
"AT4G14400","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT4G14465","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT4G14730","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G15210","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT4G15330","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G15760","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT4G15900","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G16260","defense response to nematode","GO:0002215","P","response to biotic stimulus"
"AT4G16355","regulation of innate immune response","GO:0045088","P","response to biotic stimulus"
"AT4G16730-WS","response to insect","GO:0009625","P","response to biotic stimulus"
"AT4G16740","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT4G16760","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT4G16890","systemic acquired resistance, salicylic acid mediated signaling pathway","GO:0009862","P","response to biotic stimulus"
"AT4G17490","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT4G17500","response to nematode","GO:0009624","P","response to biotic stimulus"
